Species,Pyruvic_acid,Phenylacetic_acid,Mevalonic_acid,Phenylpyruvic_acid,3-Dehydroshikimic_acid,Shikimic_acid,Glucose,D-(-)-Quinic_acid,D-Sedoheptulose_7-phosphate,2-hydroxyglutaric_acid,D-Glyceraldehyde_3-phosphate,cis-Aconitic_acid_(C30_neg_2.5_min),D-(-)-Fructose,3-Dehydroquinate,Isocitric_acid,Prephenate,D-Ribulose_5-phosphate,Fructose_6-phosphate,13(S)-Hydroperoxylinolenic_acid,L-Phenylalanine,D-Ribose_5-phosphate,D-Glucose_6-phosphate,à-Linolenic_acid,Linoleic_acid,Sucrose,2-Oxoglutaric_acid,Sedoheptulose,2-C-methyl-D-erythritol-4-phosphate,?-D-Fructose_6-phosphate,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic_acid,"sedoheptulose_1,7-bisphosphate"
Glenn,1.39461313,1.074891609,1.158851525,0.616729567,1.048518449,1.008247655,1.274633541,1.27639845,0.717935045,1.969346891,0.371235178,1.357346476,1.163142391,1.338639399,3.061536718,1.011428399,0.440708327,0.710526713,0.914553439,1.1290886,0.267596452,0.844244745,0.460050684,0.612780074,1.200217675,2.646543661,0.841684854,0.581025565,0.880836693,1.891869998,0.691753422
Glenn,1.202875857,0.926665853,1.201349058,0.275294899,0.637279084,1.491779453,1.13065277,1.282199163,0.73019185,2.47149242,0.575972284,2.422826624,1.229958697,0.848322121,0.920506024,1.244474646,0.713547885,0.936439133,1.335463046,1.401506344,0.19028225,1.05177786,0.468470953,1.112472216,1.009783666,3.934292003,1.233336018,1.075921245,1.002949386,1.63270452,0.990022757
Glenn,0.99445276,0.918722047,0.585888991,0.425720269,1.08828805,0.880345592,1.224093855,1.329246261,0.773884053,1.750120775,0.335090702,1.971122052,1.19491576,1.142855234,1.071589271,1.130850093,0.394803481,0.530643925,1.115901151,0.599290316,0.303426111,0.444367861,0.408630854,0.817425897,1.077946551,1.968515987,0.677966332,1.244462272,0.38359664,1.047290731,1.012248088
Glenn,1.069227409,1.835316534,0.819830389,0.589871593,1.226257527,1.376636788,1.2229122,0.905765762,1.223224318,0.485609687,0.623297754,0.828856216,1.397992505,1.207568385,0.686899661,0.784850959,0.634883307,0.627941317,1.654411981,0.627651766,0.704202618,0.770077704,0.698761678,1.282998358,0.837705529,0.416522188,1.725500883,1.019367664,0.865798538,2.132392476,1.285007595
Glenn,0.854840226,4.128804688,3.172068001,0.075650475,1.614292386,0.106972353,1.163817715,0.628241933,1.163798553,1.347175302,0.363491592,1.408778707,0.940075119,1.0911551,1.527709368,0.700332492,0.424175203,0.316531325,0.647034928,0.276537358,0.332186326,0.537670069,1.002934952,1.222069901,1.903654546,0.705098278,1.56151741,1.086065275,0.385935297,0.779733137,0.898649378
Glenn,1.275477101,3.069195411,3.724898051,0.143430167,1.495734812,0.078748309,1.208756992,1.041358613,0.846320923,0.977536655,0.420174859,0.933757999,1.029061025,1.652634004,1.466641797,1.134582567,0.481370813,0.371832858,0.607212025,0.248452518,0.278672985,0.469428012,1.062205841,1.387306194,1.384267329,1.038293052,1.750660821,0.304772132,0.453493804,0.836403702,1.122747263
Mamme,0.914568571,0.480575718,0.459554896,1.013790506,0.800135277,0.130378779,0.862429077,0.569823532,1.946691842,0.822999072,1.212963106,1.29670092,0.847126192,0.918350911,1.015605787,0.993584446,1.214731131,1.431368582,0.632582684,1.097886312,1.187489129,1.747270139,1.615232251,1.051699323,0.780095359,0.699525946,0.534720688,1.355804064,1.836523017,0.538882713,1.134540019
Mamme,0.993462245,0.440935197,0.352437539,0.687723041,0.626123902,0.079753513,0.829489848,0.373526351,0.788834172,0.806239212,1.62856869,0.569522068,0.748783569,0.737184484,0.908619167,1.060461031,1.750617925,1.479019799,0.932758394,0.397024987,1.252718976,1.383322409,1.442680884,1.374730514,1.058355308,0.340507786,0.423835062,1.189419428,1.210302394,0.685916202,0.309862026
Mamme,1.009367366,0.553854273,0.3724079,0.933456715,0.828655022,0.151627852,0.756735015,0.627905294,1.163836191,0.773047669,1.083086775,0.781708767,0.926267587,0.867644451,1.072876731,0.883136987,1.015071734,1.047882008,0.398487558,0.585909844,0.376753992,0.888553981,1.134229657,1.231131889,0.844237306,0.464253102,0.610578294,1.165920927,0.809249728,0.447960358,0.421327582
Mamme,1.261588066,0.20415736,1.266419377,0.783789781,0.823280557,0.145139341,0.880420921,0.283851276,1.014217501,0.941366777,1.658539128,0.606974764,0.993008908,0.93701872,1.008279616,1.190656605,1.561653111,1.444606822,0.22026293,0.336778257,0.804847412,1.186089254,1.318780852,1.196795904,1.008014107,0.092503032,0.528574752,1.409557111,1.604459468,0.222010426,0.371321183
